"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 22 16:56:07 CST 2020","Thu Oct 22 16:56:09 CST 2020","2065","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend4[1-人材活用]",""
"passed","Thu Oct 22 16:55:50 CST 2020","Thu Oct 22 16:55:52 CST 2020","2053","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend2[0-経営者]",""
"passed","Thu Oct 22 17:00:22 CST 2020","Thu Oct 22 17:00:24 CST 2020","2065","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration6[0-選択してください]",""
"passed","Thu Oct 22 16:58:31 CST 2020","Thu Oct 22 16:58:33 CST 2020","2068","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration3[2-１０～２０年]",""
"passed","Thu Oct 22 16:58:25 CST 2020","Thu Oct 22 16:58:27 CST 2020","2070","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration2[4-製造業]",""
"passed","Thu Oct 22 16:58:33 CST 2020","Thu Oct 22 16:58:35 CST 2020","2074","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration3[3-２０年以上]",""
"passed","Thu Oct 22 16:58:41 CST 2020","Thu Oct 22 16:58:43 CST 2020","2075","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration4[3-商圈外]",""
"passed","Thu Oct 22 16:58:10 CST 2020","Thu Oct 22 16:58:12 CST 2020","2065","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration1[2-小売業]",""
"passed","Thu Oct 22 17:00:26 CST 2020","Thu Oct 22 17:00:28 CST 2020","2059","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration6[2-５０日]",""
"passed","Thu Oct 22 16:59:57 CST 2020","Thu Oct 22 16:59:59 CST 2020","2064","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration2[3-製造業サービス]",""
"passed","Thu Oct 22 16:59:28 CST 2020","Thu Oct 22 16:59:40 CST 2020","12761","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration0",""
"passed","Thu Oct 22 16:59:47 CST 2020","Thu Oct 22 16:59:49 CST 2020","2070","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration1[3-IT]",""
"passed","Thu Oct 22 16:58:23 CST 2020","Thu Oct 22 16:58:25 CST 2020","2066","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration2[3-IT]",""
"passed","Thu Oct 22 16:53:52 CST 2020","Thu Oct 22 16:54:02 CST 2020","9395","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[collaboration-ビジネスパートナーに求める条件を選択してください]",""
"passed","Thu Oct 22 16:58:39 CST 2020","Thu Oct 22 16:58:41 CST 2020","2075","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration4[2-二次商圈]",""
"passed","Thu Oct 22 17:00:28 CST 2020","Thu Oct 22 17:00:30 CST 2020","2067","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration6[3-７０日]",""
"passed","Wed Oct 07 13:23:44 CST 2020","Wed Oct 07 13:24:11 CST 2020","26291","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[community-]",""
"passed","Thu Oct 22 16:55:34 CST 2020","Thu Oct 22 16:55:42 CST 2020","7470","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend0",""
"passed","Wed Oct 21 15:44:14 CST 2020","Wed Oct 21 15:44:15 CST 2020","1376","TestCases","test_5_homePageCase","TestHomePage","","","test_myPage1[iamC-雇主中心]",""
"passed","Thu Oct 22 16:59:53 CST 2020","Thu Oct 22 16:59:55 CST 2020","2073","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration2[1-加工食品]",""
"passed","Thu Oct 22 17:00:12 CST 2020","Thu Oct 22 17:00:14 CST 2020","2068","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration4[2-二次商圈（駐車場併設）]",""
"passed","Thu Oct 22 16:54:26 CST 2020","Thu Oct 22 16:54:36 CST 2020","9419","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[pic_recommend-お困り事]",""
"passed","Thu Oct 22 16:58:06 CST 2020","Thu Oct 22 16:58:08 CST 2020","2058","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration1[0-選択してください]",""
"passed","Thu Oct 22 16:58:35 CST 2020","Thu Oct 22 16:58:37 CST 2020","2066","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration4[0-選択してください]",""
"passed","Thu Oct 22 16:58:56 CST 2020","Thu Oct 22 16:58:58 CST 2020","2067","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration6[3-７０日]",""
"passed","Thu Oct 22 16:58:50 CST 2020","Thu Oct 22 16:58:52 CST 2020","2065","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration6[0-選択してください]",""
"broken","Wed Oct 07 16:57:52 CST 2020","Wed Oct 07 16:59:01 CST 2020","68525","TestCases","test_5_homePageCase","TestHomePage","","","test_homepage[info-站内通知]",""
"passed","Thu Oct 22 17:00:03 CST 2020","Thu Oct 22 17:00:05 CST 2020","2068","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration3[2-１０～２０年]",""
"passed","Thu Oct 22 16:55:44 CST 2020","Thu Oct 22 16:55:46 CST 2020","2073","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend1[1-卸売業]",""
"passed","Thu Oct 22 17:00:20 CST 2020","Thu Oct 22 17:00:22 CST 2020","2064","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration5[2-不要]",""
"passed","Thu Oct 22 16:56:12 CST 2020","Thu Oct 22 16:56:33 CST 2020","21083","TestCases","test_3_recommendPageCase","TestRecommendPage_flow","","","test_recommend_flow",""
"passed","Thu Oct 22 16:58:37 CST 2020","Thu Oct 22 16:58:39 CST 2020","2059","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration4[1-一次商圈]",""
"passed","Thu Oct 22 16:59:40 CST 2020","Thu Oct 22 16:59:42 CST 2020","2059","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration1[0-選択してください]",""
"passed","Thu Oct 22 16:59:55 CST 2020","Thu Oct 22 16:59:57 CST 2020","2071","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration2[2-ITサービス]",""
"passed","Wed Oct 07 13:24:20 CST 2020","Wed Oct 07 13:24:30 CST 2020","9437","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[top-]",""
"passed","Wed Oct 07 13:23:25 CST 2020","Wed Oct 07 13:23:34 CST 2020","9455","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[recommend-]",""
"passed","Thu Oct 22 16:54:16 CST 2020","Thu Oct 22 16:54:26 CST 2020","9464","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[myPage-雇主中心]",""
"passed","Thu Oct 22 16:58:12 CST 2020","Thu Oct 22 16:58:14 CST 2020","2070","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration1[3-IT]",""
"passed","Thu Oct 22 16:51:51 CST 2020","Thu Oct 22 16:51:55 CST 2020","3952","TestCases","test_1_loginCase","TestLogin","","","test_fail_user_empty[-daido001-对不起！请输入用户名！]",""
"failed","Wed Oct 07 17:17:16 CST 2020","Wed Oct 07 17:18:17 CST 2020","61440","TestCases","test_5_homePageCase","TestHomePage","","","test_homepage[iamC-雇主中心]",""
"passed","Thu Oct 22 16:55:54 CST 2020","Thu Oct 22 16:55:56 CST 2020","2069","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend3[1-10~20人未満]",""
